Letter_n,n,max_n,Letter_n+1,Freq
క,5,6,ము,209
గు,2,3,లు,20
లు,3,3,-,430
గు,2,3,ళం,1
ళం,3,3,-,1
గు,2,4,ళ,2
ళ,3,4,ము,80
గు,2,6,ళ,2
ళ,3,6,లీ,2
లీ,4,6,య,2
య,5,6,క,2
అం,1,7,గు,3
గు,2,7,ళ,1
ళ,3,7,లీ,1
లీ,4,7,య,1
య,5,7,క,4
క,6,7,ము,82
గు,2,3,ళి,2
ళి,3,3,-,49
గు,2,6,ళి,2
ళి,3,6,త్,1
త్,4,6,ర,41
గు,2,7,ళి,2
ళి,3,7,త్,1
త్,4,7,రా,4
రా,5,7,ణ,2
ణ,6,7,ము,57
ళి,3,7,పం,1
పం,4,7,చ,17
చ,5,7,క,18
ళి,3,6,ము,1
ము,4,6,ద్,1
ద్,5,6,ర,6
ర,6,6,-,86
గు,2,6,ళీ,2
ళీ,3,6,మా,1
మా,4,6,న,11
న,5,6,ము,246
అం,1,5,గు,2
గు,2,5,ళీ,1
ళీ,3,5,య,1
య,4,5,క,7
క,5,5,-,327
ళీ,3,6,య,1
గు,2,4,ష్,1
ష్,3,4,ట,13
ట,4,4,-,204
గు,2,5,ష్,1
ష్,3,5,ట,46
ట,4,5,ము,139
అం,1,3,గూ,1
గూ,2,3,రు,2
రు,3,3,-,267
అం,1,3,ఘ్,1
ఘ్,2,3,రి,1
రి,3,3,-,283
అం,1,7,ఘ్,1
ఘ్,2,7,రి,1
రి,3,7,ప,1
ర్,5,7,డి,1
డి,6,7,క,1
క,7,7,-,129
అం,1,2,చ,1
చ,2,2,-,25
అం,1,3,చ,2
చ,2,3,నా,2
నా,3,3,-,24
అం,1,6,చ,1
చ,2,6,నా,2
నా,3,6,వ్,1
వ్,4,6,య,23
య,5,6,యం,1
అం,1,5,చ,1
చ,2,5,ప,1
ప,3,5,ద,15
ద,4,5,ము,113
చ,2,3,ల,4
ల,3,3,-,233
అం,1,4,చ,1
చ,2,4,ల,1
అం,1,3,చిం,1
చిం,2,3,చు,11
చు,3,3,-,491
అం,1,4,చి,1
చి,2,4,త,14
అం,1,3,చి,1
చి,2,3,య,5
అం,1,6,చీ,1
చీ,2,6,న,1
న,3,6,దా,1
దా,4,6,రుం,2
రుం,5,6,డు,62
అం,1,2,చు,1
చు,2,2,-,92
అం,1,5,చు,1
చు,2,5,ల,2
ల,3,5,నాం,1
నాం,4,5,డు,5
అం,1,2,చె,1
చె,2,2,-,12
అం,1,6,చె,1
చె,2,6,లం,1
లం,3,6,చె,1
చె,4,6,లు,1
లు,5,6,గా,4
గా,6,6,-,19
అం,1,2,చే,1
చే,2,2,-,15
అం,1,3,చే,2
చే,2,3,న,2
అం,1,5,చే,2
చే,2,5,ప,2
అం,1,4,చే,2
చే,2,4,యా,1
యా,3,4,న,4
న,4,4,-,276
చే,2,5,ర,1
ర,3,5,వు,6
వు,4,5,తు,4
తు,5,5,-,103
చే,2,3,ల,2
చే,2,4,ల,2
అం,1,2,జ,1
జ,2,2,-,44
అం,1,3,జ,3
జ,2,3,న,9
అం,1,5,జ,2
జ,2,5,న,3
న,3,5,కే,1
కే,4,5,శి,2
శి,5,5,-,12
అం,1,4,జ,1
జ,2,4,న,17
జ,2,5,నా,2
నా,3,5,వ,1
వ,4,5,తి,19
తి,5,5,-,171
జ,2,3,నీ,2
నీ,3,3,-,11
జ,2,3,లి,2
అం,1,6,జ,1
జ,2,6,లి,1
లి,3,6,కా,1
కా,4,6,రి,1
రి,5,6,క,11
అం,1,2,జి,1
జి,2,2,-,16
అం,1,3,జి,1
జి,2,3,క,8
అం,1,6,జూ,1
జూ,2,6,ప,1
ప,3,6,లే,1
లే,4,6,వు,1
వు,5,6,గా,1
అం,1,3,జూ,1
జూ,2,3,ర,1
అం,1,2,జే,1
జే,2,2,-,17
అం,1,7,జే,1
జే,2,7,మె,1
మె,3,7,డ,1
డ,4,7,ప,1
ప,5,7,ట్,8
ట్,6,7,టు,47
టు,7,7,-,53
అం,1,6,జే,1
జే,2,6,లి,1
లి,3,6,గుం,1
గుం,4,6,జే,1
జే,5,6,లి,1
అం,1,3,జే,1
జే,2,3,సె,1
సె,3,3,-,18
అం,1,2,జో,1
జో,2,2,-,26
అం,1,4,జో,1
జో,2,4,యిం,1
యిం,3,4,చేు,1
చేు,4,4,-,2
అం,1,2,ట,1
ట,2,2,-,94
అం,1,3,ట,1
ట,2,3,గు,1
గు,3,3,-,275
అం,1,5,ట,1
ట,2,5,సి,1
సి,3,5,ల్,7
ల్,4,5,లు,100
అం,1,6,టా,1
టా,2,6,రు,1
రు,3,6,పు,2
పు,4,6,ల్,1
ల్,5,6,ల,23
ల,6,6,-,83
అం,1,9,టా,1
టా,2,9,రు,3
రు,3,9,బ్,1
బ్,4,9,ర,2
ర,5,9,హ్,1
హ్,6,9,మ,1
మ,7,9,రా,1
రా,8,9,త,1
త,9,9,-,6
అం,1,2,టి,1
టి,2,2,-,76
అం,1,3,టిం,1
టిం,2,3,చు,12
అం,1,7,టి,1
టి,2,7,పె,1
పె,3,7,ట్,1
ట్,4,7,టు,3
టు,5,7,కొ,2
కొ,6,7,ను,8
ను,7,7,-,52
అం,1,3,టి,1
టి,2,3,స,1
స,3,3,-,92
అం,1,2,టు,1
టు,2,2,-,75
అం,1,6,టు,2
టు,2,6,క,4
క,3,6,త్,19
త్,4,6,తి,19
తి,5,6,య,16
అం,1,4,టు,9
టు,2,4,కాం,6
టు,2,6,కొ,1
కొ,3,6,ని,1
ని,4,6,పో,2
పో,5,6,వు,8
వు,6,6,-,109
టు,2,4,గా,1
గా,3,4,డు,7
టు,2,4,జా,1
జా,3,4,యి,10
యి,4,4,-,71
టు,2,4,జో,1
జో,3,4,దు,3
దు,4,4,-,108
టు,2,4,నూ,1
నూ,3,4,నె,5
నె,4,4,-,13
టు,2,4,ప,6
ప,3,4,డు,94
టు,2,4,పూ,1
పూ,3,4,స,3
స,4,4,-,84
టు,2,4,పే,1
పే,3,4,ను,2
అం,1,5,టు,1
టు,2,5,పోం,1
పోం,3,5,గు,2
గు,4,5,లు,7
టు,2,4,మె,1
మె,3,4,డ,1
డ,4,4,-,136
అం,1,2,టే,1
టే,2,2,-,3
అం,1,4,ట్,1
ట్,2,4,రిం,6
రిం,3,4,త,12
త,4,4,-,196
అం,1,3,ట్,1
ట్,2,3,లు,16
అం,1,2,డ,1
డ,2,2,-,97
అం,1,5,డ,2
డ,2,5,కో,1
కో,3,5,శ,3
డ,2,5,గొ,9
గొ,3,5,ట్,23
ట్,4,5,టు,241
టు,5,5,-,343
అం,1,4,డ,2
డ,2,4,గొ,3
అం,1,3,డ,2
డ,2,3,న,7
డ,2,4,న,10
డ,2,3,ము,40
అం,1,2,డా,1
డా,2,2,-,15
అం,1,2,డి,1
డి,2,2,-,106
అం,1,3,డి,1
డి,2,3,య,22
అం,1,4,డి,1
డి,2,4,య,16
అం,1,2,డీ,1
డీ,2,2,-,16
అం,1,2,త,1
త,2,2,-,103
అం,1,3,తం,1
తం,2,3,త,1
అం,1,2,తః,1
తః,2,2,-,1
అం,1,6,తః,1
తః,2,6,క,1
క,3,6,ర,20
ర,4,6,ణ,56
ణ,5,6,ము,131
అం,1,4,తః,2
తః,2,4,పు,2
పు,3,4,ర,2
ర,4,4,-,272
అం,1,5,తః,1
తః,2,5,పు,1
పు,3,5,ర,8
పు,3,4,రి,3
రి,4,4,-,340
అం,1,4,త,12
త,2,4,క,20
క,3,4,ము,339
త,2,4,కుం,8
కుం,3,4,డు,136
త,2,4,కు,4
కు,3,4,డు,51
అం,1,3,త,5
త,2,3,ట,1
త,2,3,టా,1
టా,3,3,-,14
త,2,3,ము,81
త,2,3,యు,2
యు,3,3,-,147
అం,1,7,త,4
త,2,7,యె,2
యె,3,7,జు,1
జు,4,7,క,1
క,5,7,లే,1
లే,6,7,నె,1
నె,7,7,-,6
త,2,3,ర,7
అం,1,5,త,20
త,2,5,రం,2
రం,3,5,గ,12
రం,3,5,గి,1
గి,4,5,క,1
అం,1,6,త,16
త,2,6,ర,2
ర,3,6,దా,4
దా,4,6,మ,6
మ,5,6,ర,13
త,2,7,ర,1
ప,4,7,ల్,2
ల,6,7,టీ,1
టీ,7,7,-,2
త,2,4,ర,10
ర,3,4,మ్‌,9
మ్‌,4,4,-,55
త,2,5,రా,4
రా,3,5,త్,4
త్,4,5,మ,2
మ,5,5,-,68
త,2,4,రా,4
రా,3,4,యం,1
యం,4,4,-,33
రా,3,5,య,5
య,4,5,ము,391
రా,3,5,ళ,2
ళ,4,5,ము,51
త,2,5,రిం,1
రిం,3,5,చి,2
చి,4,5,న,9
త,2,4,రిం,3
అం,1,17,త,1
త,2,17,రిం,1
రిం,3,17,ద్,1
ద్,4,17,రి,1
రి,5,17,య,1
య,6,17,ము,1
ము,7,17,లు,1
లు,8,17,ఇం,1
ఇం,9,17,ద్,1
ద్,10,17,రి,1
రి,11,17,య,1
య,12,17,వి,1
వి,13,17,ష,1
ష,14,17,య,1
య,15,17,ము,1
ము,16,17,లు,5
లు,17,17,-,9
త,2,5,రి,2
రి,3,5,క్,3
క్,4,5,ష,5
ష,5,5,-,8
క్,4,5,షం,1
షం,5,5,-,1
త,2,6,రి,4
రి,3,6,క్,5
క్,4,6,ష,32
ష,5,6,ము,52
క్,4,6,షు,6
షు,5,6,డు,5
త,2,6,రీ,1
రీ,3,6,క్,1
త,2,5,రీ,2
రీ,3,5,ప,1
ప,4,5,ము,52
రీ,3,5,య,3
త,2,4,రు,5
రు,3,4,వు,37
త,2,5,ర్,10
ర్,3,5,గ,9
గ,4,5,త,1
త,5,5,-,130
త,2,6,ర్,15
ర్,3,6,గ,6
గ,4,6,త,3
త,5,6,ము,236
ర్,3,6,జా,4
జా,4,6,తీ,1
తీ,5,6,య,1
త,2,7,ర్,2
ర్,3,7,జా,1
జా,4,7,న,1
న,5,7,మ,1
మ,6,7,గు,5
గు,7,7,-,33
జా,4,6,న,2
జా,4,6,ను,1
ను,5,6,డు,23
ర్,3,5,జా,1
జా,4,5,లం,2
లం,5,5,-,6
ర్,3,6,జి,3
జి,4,6,త,5
ర్,3,5,జే,1
జే,4,5,శ,1
శ,5,5,-,18
త,2,4,ర్,5
ర్,3,4,థ,3
థ,4,4,-,13
ర్,3,4,ధి,4
ధి,4,4,-,27
ర్,3,6,ని,1
ని,4,6,హి,1
హి,5,6,తం,1
తం,6,6,-,6
ర్,3,6,భూ,2
భూ,4,6,త,2
ర్,3,6,మ,3
మ,4,6,నుం,2
నుం,5,6,డు,37
ర్,3,5,ము,1
ము,4,5,ఖీ,1
ఖీ,5,5,-,1
ర్,3,6,ము,1
ము,4,6,ఖుం,3
ఖుం,5,6,డు,4
ర్,3,6,యా,2
యా,4,6,గ,2
గ,5,6,ము,44
ర్,3,5,యా,3
యా,4,5,మి,1
మి,5,5,-,21
అం,1,12,త,1
త,2,12,ర్,1
ర్,3,12,యా,1
యా,4,12,యు,1
యు,5,12,లు,1
లు,6,12,బ్,1
బ్,7,12,రా,2
రా,8,12,హ్,1
హ్,9,12,మ,1
మ,10,12,ణు,1
ణు,11,12,ల,1
ల,12,12,-,5
ర్,3,6,యు,2
యు,4,6,ద్,1
ద్,5,6,ధం,1
ధం,6,6,-,2
అం,1,9,త,1
త,2,9,ర్,2
ర్,3,9,రా,1
రా,4,9,ష్,1
ష్,5,9,ట,2
ట,6,9,మం,1
మం,7,9,డ,1
డ,8,9,లి,1
లి,9,9,-,3
ర్,3,5,లా,1
లా,4,5,పి,1
పి,5,5,-,11
ర్,3,7,వం,1
వం,4,7,శి,1
శి,5,7,కుం,1
కుం,6,7,డు,29
ర్,3,6,వ,4
వ,4,6,త్,5
త్,5,6,ని,1
ని,6,6,-,47
ర్,3,5,వా,4
వా,4,5,ణి,1
ణి,5,5,-,25
అం,1,8,త,1
త,2,8,ల,1
ల,3,8,పొం,1
పొం,4,8,త,1
త,5,8,ల,2
ల,6,8,వాం,10
వాం,7,8,డు,32
డు,8,8,-,190
త,2,5,ళ్,1
ళ్,3,5,ళి,2
ళి,4,5,ల,2
అం,1,10,త,1
త,2,10,వ,1
వ,3,10,ట్,2
ట్,4,10,టు,6
టు,5,10,వ,1
వ,6,10,ట్,1
ట్,7,10,టు,1
టు,8,10,వా,1
వా,9,10,రు,1
రు,10,10,-,3
త,2,5,వ,5
వ,3,5,ర,27
ర,4,5,కు,2
కు,5,5,-,73
త,2,5,శ,2
శ,3,5,య్,1
య్,4,5,య,18
త,2,4,స్,5
స్,3,4,తు,5
స్,3,4,థ,6
అం,1,2,తా,1
తా,2,2,-,10
అం,1,5,తా,1
తా,2,5,వ,2
వ,3,5,సా,3
సా,4,5,యి,2
యి,5,5,-,46
అం,1,3,తి,3
తి,2,3,క,13
అం,1,4,తి,4
తి,2,4,క,3
క,3,4,లు,13
అం,1,5,తి,2
తి,2,5,కా,1
కా,3,5,యు,2
యు,4,5,డు,15
తి,2,5,పు,2
తి,2,4,పు,1
తి,2,3,మ,2
మ,3,3,-,134
తి,2,4,మ,1
మ,3,4,ము,108
అం,1,6,తి,1
తి,2,6,మ,2
మ,3,6,యా,2
యా,4,6,త్,3
త్,5,6,ర,8
తి,2,3,య,4
తి,2,4,ల్,3
ల్,3,4,లు,33
అం,1,2,తు,1
తు,2,2,-,36
అం,1,2,తె,1
తె,2,2,-,6
అం,1,2,తే,1
తే,2,2,-,2
అం,1,4,తే,1
తే,2,4,వా,1
వా,3,4,సి,7
సి,4,4,-,47
అం,1,7,త్,1
త్,2,7,య,7
య,3,7,క,5
క,4,7,ర్,8
ర్,5,7,మ,6
మ,6,7,ము,18
అం,1,15,త్,1
త్,2,15,య,1
య,3,15,క,1
క,4,15,ర్,1
ర్,5,15,మ,1
మ,6,15,షో,1
షో,7,15,డ,1
డ,8,15,శ,1
శ,9,15,చం,1
చం,10,15,ద్,1
ద్,11,15,ర,1
ర,12,15,క,1
క,13,15,ళ,1
ళ,14,15,లు,1
లు,15,15,-,10
అం,1,5,త్,1
త్,2,5,య,9
య,3,5,జుం,1
జుం,4,5,డు,14
అం,1,4,త్,2
త్,2,4,య,17
అం,1,9,త్,1
త్,2,9,య,5
య,3,9,వ,4
వ,4,9,ర్,1
ర్,5,9,ణ,1
ణ,6,9,లో,1
లో,7,9,ప,1
ప,8,9,ము,3
ము,9,9,-,121
అం,1,11,త్,1
త్,2,11,య,1
య,3,11,వ,1
వ,4,11,ర్,1
ర్,5,11,ణ,1
ణ,6,11,లో,1
లో,7,11,ప,1
ప,8,11,ము,1
ము,9,11,న,2
న,10,11,కు,3
కు,11,11,-,5
త్,2,4,ర,39
అం,1,2,దం,1
దం,2,2,-,5
అం,1,3,దం,1
దం,2,3,ద,2
అం,1,7,దం,1
దం,2,7,బు,1
బు,3,7,గూ,1
గూ,4,7,డు,1
డు,5,7,కొ,2
అం,1,6,ద,1
ద,2,6,క,4
అం,1,5,ద,4
ద,2,5,గ,2
గ,3,5,త్,2
త్,4,5,తె,18
తె,5,5,-,23
అం,1,4,ద,9
ద,2,4,గాం,1
గాం,3,4,డు,25
ద,2,4,గిం,4
గిం,3,4,చు,39
అం,1,3,ద,7
ద,2,3,జ,1
జ,3,3,-,48
ద,2,4,జ,2
జ,3,4,ము,60
ద,2,4,జే,2
జే,3,4,యు,4
యు,4,4,-,120
ద,2,3,టు,5
టు,3,3,-,112
ద,2,3,ది,1
ది,3,3,-,135
ద,2,4,దు,1
దు,3,4,కు,2
ద,2,3,ని,4
ని,3,3,-,137
ద,2,4,ను,3
ను,3,4,క,8
ద,2,5,ప,4
ప,3,5,అ,1
అ,4,5,చు,2
ద,2,4,ప,4
ద,2,3,ము,48
ద,2,5,ము,5
ము,3,5,న,15
న,4,5,కు,13
ద,2,4,మై,1
మై,3,4,న,8
ద,2,5,మై,1
మై,3,5,న,6
న,4,5,ది,76
ది,5,5,-,151
ద,2,3,రి,11
ద,2,3,రూ,1
రూ,3,3,-,3
ద,2,4,ల,6
అం,1,3,దాం,1
దాం,2,3,క,3
అం,1,3,దిం,1
దిం,2,3,చ,1
చ,3,3,-,42
అం,1,4,దిం,1
దిం,2,4,ద,1
ద,3,4,ని,6
ని,4,4,-,143
అం,1,3,ది,2
ది,2,3,క,8
అం,1,7,ది,1
ది,2,7,పొం,1
పొం,3,7,ది,1
ది,4,7,న,1
న,5,7,వాం,7
వాం,6,7,దు,3
దు,7,7,-,39
ది,2,3,య,17
అం,1,2,దు,1
దు,2,2,-,73
అం,1,3,దు,5
దు,2,3,క,12
అం,1,4,దు,8
దు,2,4,క,9
దు,2,3,కే,1
కే,3,3,-,1
దు,2,4,కొ,8
కొ,3,4,ను,114
దు,2,4,కో,1
కో,3,4,లు,21
దు,2,3,గు,16
అం,1,6,దు,3
దు,2,6,గు,2
గు,3,6,చె,1
చె,4,6,ట్,14
దు,2,4,గు,6
గు,3,4,శో,1
శో,4,4,-,1
దు,2,4,పా,5
పా,3,4,టు,34
టు,4,4,-,146
దు,2,4,బ,1
బ,3,4,డి,20
దు,2,4,బా,1
బా,3,4,టు,15
దు,2,3,రు,20
అం,1,5,దు,3
దు,2,5,రు,19
రు,3,5,ఉ,1
ఉ,4,5,దా,7
దా,5,5,-,7
అం,1,10,దు,1
దు,2,10,రు,4
రు,3,10,ద,1
ద,4,10,క్,2
క్,5,10,ష,2
ష,6,10,సా,1
సా,7,10,వ,1
వ,8,10,ర్,1
ర్,9,10,ణి,1
ణి,10,10,-,2
అం,1,7,దు,2
దు,2,7,రు,8
రు,3,7,దా,1
దా,4,7,శ,1
శ,5,7,రా,1
రా,6,7,జు,2
జు,7,7,-,3
అం,1,8,దు,3
దు,2,8,రు,4
రు,3,8,దే,1
దే,4,8,వ,1
వ,5,8,ద్,1
ద్,6,8,యు,1
యు,7,8,తి,1
తి,8,8,-,18
రు,3,8,భీ,1
భీ,4,8,మ,1
మ,5,8,సే,1
సే,6,8,ను,2
ను,7,8,డు,2
దు,2,6,రు,12
రు,3,6,మైం,1
మైం,4,6,దు,1
దు,5,6,డు,5
రు,3,6,మో,1
మో,4,6,హి,2
హి,5,6,ని,2
రు,3,8,లు,1
లు,4,8,ప్,4
ప్,5,8,తో,1
తో,6,8,ప,1
ప,7,8,ము,8
ము,8,8,-,288
రు,3,5,వేం,1
